Unnamed: 0,banda,descripción,min,p02,mediana,p98,max
0,1,,1102.0,1119.97998,1159.0,1246.0,1254.0
1,2,,826.0,841.960022,922.5,1070.200195,1126.0
2,3,,771.0,811.960022,923.0,1116.0,1150.0
3,4,,484.0,559.97998,763.5,1045.44043,1166.0
4,5,,1047.0,1131.97998,1330.5,1639.040039,1689.0
5,6,,2282.0,2321.879883,2635.0,3511.100098,3670.0
6,7,,2699.0,2770.959961,3132.5,4336.100098,4585.0
7,8,,2742.0,2814.0,3184.0,4392.080078,4654.0
8,9,,1341.0,1360.900024,1482.0,1946.02002,2004.0
9,10,,13.0,13.0,16.0,18.0,19.0
10,11,,1692.0,1871.859985,2319.0,2972.02002,3061.0
11,12,,819.0,914.919983,1159.5,1511.080078,1552.0
12,13,,3103.0,3185.939941,3556.0,4833.080078,5114.0
