Unnamed: 0,run,split,wind_strength,ignition,final_burn_fraction
0,0,train,0.237776,"(3, 18)",0.2875
1,1,train,0.171498,"(0, 12)",0.205
2,2,train,0.324336,"(16, 17)",0.2875
3,3,train,0.244422,"(17, 13)",0.245
4,4,train,0.308591,"(13, 19)",0.2625
5,5,train,0.329151,"(19, 13)",0.08
6,6,train,0.256676,"(8, 19)",0.06
7,7,train,0.32496,"(13, 0)",0.06
8,8,train,0.349394,"(12, 12)",0.2175
9,9,train,0.257768,"(19, 8)",0.1025
10,10,train,0.224442,"(17, 9)",0.025
11,11,train,0.188519,"(8, 17)",0.245
12,12,train,0.191668,"(13, 7)",0.04
13,13,train,0.288054,"(12, 12)",0.2675
14,14,test,0.186855,"(10, 19)",0.1425
15,15,test,0.323407,"(2, 17)",0.035
16,16,test,0.28527,"(10, 18)",0.2175
17,17,test,0.345628,"(18, 19)",0.2725
18,18,test,0.244358,"(15, 14)",0.185
19,19,test,0.158181,"(13, 6)",0.015
