Unnamed: 0,Modelo,Canal,Tasa_error_bits,F1,IoU,Balanced_accuracy,Precision,Recall,AUC
0,CNN,Ideal cuantizada,0.000%,0.415,0.262,0.897,0.279,0.812,0.987
1,CNN,Ruido sin QEC,0.601%,0.417,0.263,0.893,0.281,0.803,0.986
2,CNN,Surface d=3 + MWPM,2.617%,0.406,0.255,0.874,0.277,0.765,0.98
3,CNN,Surface d=5 + MWPM,2.838%,0.397,0.247,0.862,0.271,0.74,0.981
4,GNN dirigida,Ideal cuantizada,0.000%,0.27,0.156,0.81,0.171,0.646,0.946
5,GNN dirigida,Ruido sin QEC,0.604%,0.266,0.154,0.805,0.168,0.636,0.944
6,GNN dirigida,Surface d=3 + MWPM,2.615%,0.267,0.154,0.805,0.169,0.636,0.944
7,GNN dirigida,Surface d=5 + MWPM,2.826%,0.255,0.146,0.794,0.161,0.614,0.939
8,Transformer,Ideal cuantizada,0.000%,0.429,0.273,0.851,0.307,0.715,0.956
9,Transformer,Ruido sin QEC,0.582%,0.426,0.271,0.844,0.306,0.702,0.954
10,Transformer,Surface d=3 + MWPM,2.610%,0.416,0.263,0.827,0.302,0.668,0.95
11,Transformer,Surface d=5 + MWPM,2.831%,0.424,0.269,0.828,0.311,0.668,0.954
