Unnamed: 0,distance,p_físico,shots,fallos_sin_decodificar,fallos_MWPM,semillas,qubits,detectores,LER_sin_decodificar,LER_MWPM,reducción_absoluta,reducción_relativa,MWPM_aporta,IC95_no_inf,IC95_no_sup,IC95_MWPM_inf,IC95_MWPM_sup
0,3,0.050%,100000,1129,22,5,26,24,1.129%,0.022%,+1.107%,+98.1%,True,1.065%,1.196%,0.015%,0.033%
1,3,0.100%,100000,2235,84,5,26,24,2.235%,0.084%,+2.151%,+96.2%,True,2.145%,2.328%,0.068%,0.104%
2,3,0.200%,100000,4424,339,5,26,24,4.424%,0.339%,+4.085%,+92.3%,True,4.298%,4.553%,0.305%,0.377%
3,3,0.300%,100000,6539,703,5,26,24,6.539%,0.703%,+5.836%,+89.2%,True,6.387%,6.694%,0.653%,0.757%
4,3,0.400%,100000,8520,1262,5,26,24,8.520%,1.262%,+7.258%,+85.2%,True,8.349%,8.695%,1.195%,1.333%
5,3,0.600%,100000,12036,2733,5,26,24,12.036%,2.733%,+9.303%,+77.3%,True,11.836%,12.239%,2.634%,2.836%
6,3,0.800%,100000,15697,4490,5,26,24,15.697%,4.490%,+11.207%,+71.4%,True,15.473%,15.924%,4.363%,4.620%
7,3,1.000%,100000,18437,6538,5,26,24,18.437%,6.538%,+11.899%,+64.5%,True,18.198%,18.679%,6.386%,6.693%
8,5,0.050%,100000,3022,1,5,64,120,3.022%,0.001%,+3.021%,+100.0%,True,2.918%,3.130%,0.000%,0.006%
9,5,0.100%,100000,5792,10,5,64,120,5.792%,0.010%,+5.782%,+99.8%,True,5.649%,5.938%,0.005%,0.018%
10,5,0.200%,100000,10885,103,5,64,120,10.885%,0.103%,+10.782%,+99.1%,True,10.693%,11.080%,0.085%,0.125%
11,5,0.300%,100000,15564,409,5,64,120,15.564%,0.409%,+15.155%,+97.4%,True,15.341%,15.790%,0.371%,0.451%
12,5,0.400%,100000,19361,864,5,64,120,19.361%,0.864%,+18.497%,+95.5%,True,19.117%,19.607%,0.808%,0.923%
13,5,0.600%,100000,26266,2609,5,64,120,26.266%,2.609%,+23.657%,+90.1%,True,25.994%,26.540%,2.512%,2.710%
14,5,0.800%,100000,31324,5664,5,64,120,31.324%,5.664%,+25.660%,+81.9%,True,31.037%,31.612%,5.522%,5.809%
15,5,1.000%,100000,35606,9648,5,64,120,35.606%,9.648%,+25.958%,+72.9%,True,35.310%,35.903%,9.467%,9.833%
16,7,0.050%,100000,5472,0,5,118,336,5.472%,0.000%,+5.472%,+100.0%,True,5.333%,5.615%,0.000%,0.004%
17,7,0.100%,100000,10532,1,5,118,336,10.532%,0.001%,+10.531%,+100.0%,True,10.343%,10.724%,0.000%,0.006%
18,7,0.200%,100000,18784,42,5,118,336,18.784%,0.042%,+18.742%,+99.8%,True,18.543%,19.027%,0.031%,0.057%
19,7,0.300%,100000,25218,148,5,118,336,25.218%,0.148%,+25.070%,+99.4%,True,24.950%,25.488%,0.126%,0.174%
20,7,0.400%,100000,30519,534,5,118,336,30.519%,0.534%,+29.985%,+98.3%,True,30.234%,30.805%,0.491%,0.581%
21,7,0.600%,100000,38029,2367,5,118,336,38.029%,2.367%,+35.662%,+93.8%,True,37.729%,38.330%,2.275%,2.463%
22,7,0.800%,100000,42712,6353,5,118,336,42.712%,6.353%,+36.359%,+85.1%,True,42.406%,43.019%,6.203%,6.506%
23,7,1.000%,100000,45163,12472,5,118,336,45.163%,12.472%,+32.691%,+72.4%,True,44.855%,45.472%,12.269%,12.678%
