Unnamed: 0,Modelo,p_físico,Distancia,Condición,Tasa_error_bits,F1,IoU,AUC,Balanced_accuracy,Precision,Recall,F1_std,IoU_std,AUC_std
0,CNN,0.100%,3,Ideal 8-bit,0.000%,0.412,0.259,0.988,0.92,0.271,0.859,0.0,0.0,0.0
1,CNN,0.100%,3,Mismo circuito + MWPM,0.084%,0.412,0.259,0.987,0.919,0.271,0.858,0.001,0.001,0.0
2,CNN,0.100%,3,Mismo circuito sin decoder,2.237%,0.401,0.25,0.983,0.893,0.267,0.804,0.004,0.003,0.001
3,CNN,0.100%,5,Ideal 8-bit,0.000%,0.412,0.259,0.988,0.92,0.271,0.859,0.0,0.0,0.0
4,CNN,0.100%,5,Mismo circuito + MWPM,0.010%,0.412,0.259,0.988,0.919,0.271,0.858,0.001,0.0,0.0
5,CNN,0.100%,5,Mismo circuito sin decoder,5.794%,0.379,0.234,0.974,0.851,0.257,0.72,0.005,0.004,0.001
6,CNN,0.100%,7,Ideal 8-bit,0.000%,0.412,0.259,0.988,0.92,0.271,0.859,0.0,0.0,0.0
7,CNN,0.100%,7,Mismo circuito + MWPM,0.001%,0.412,0.259,0.988,0.92,0.271,0.859,0.0,0.0,0.0
8,CNN,0.100%,7,Mismo circuito sin decoder,10.531%,0.342,0.207,0.958,0.801,0.237,0.619,0.015,0.011,0.005
9,CNN,0.600%,3,Ideal 8-bit,0.000%,0.412,0.259,0.988,0.92,0.271,0.859,0.0,0.0,0.0
10,CNN,0.600%,3,Mismo circuito + MWPM,2.732%,0.405,0.254,0.982,0.892,0.271,0.803,0.003,0.002,0.001
11,CNN,0.600%,3,Mismo circuito sin decoder,12.035%,0.339,0.204,0.953,0.795,0.235,0.608,0.007,0.005,0.002
12,CNN,0.600%,5,Ideal 8-bit,0.000%,0.412,0.259,0.988,0.92,0.271,0.859,0.0,0.0,0.0
13,CNN,0.600%,5,Mismo circuito + MWPM,2.612%,0.402,0.251,0.983,0.89,0.269,0.798,0.005,0.004,0.0
14,CNN,0.600%,5,Mismo circuito sin decoder,26.267%,0.144,0.077,0.843,0.659,0.091,0.347,0.011,0.006,0.012
15,CNN,0.600%,7,Ideal 8-bit,0.000%,0.412,0.259,0.988,0.92,0.271,0.859,0.0,0.0,0.0
16,CNN,0.600%,7,Mismo circuito + MWPM,2.367%,0.397,0.248,0.983,0.888,0.265,0.795,0.009,0.007,0.001
17,CNN,0.600%,7,Mismo circuito sin decoder,38.026%,0.051,0.026,0.691,0.578,0.029,0.218,0.004,0.002,0.005
18,GNN dirigida,0.100%,3,Ideal 8-bit,0.000%,0.301,0.177,0.952,0.785,0.202,0.589,0.0,0.0,0.0
19,GNN dirigida,0.100%,3,Mismo circuito + MWPM,0.084%,0.3,0.176,0.952,0.784,0.201,0.587,0.001,0.001,0.0
20,GNN dirigida,0.100%,3,Mismo circuito sin decoder,2.237%,0.291,0.17,0.945,0.771,0.196,0.562,0.007,0.005,0.002
21,GNN dirigida,0.100%,5,Ideal 8-bit,0.000%,0.301,0.177,0.952,0.785,0.202,0.589,0.0,0.0,0.0
22,GNN dirigida,0.100%,5,Mismo circuito + MWPM,0.010%,0.301,0.177,0.953,0.785,0.202,0.589,0.0,0.0,0.0
23,GNN dirigida,0.100%,5,Mismo circuito sin decoder,5.794%,0.261,0.15,0.933,0.747,0.175,0.513,0.008,0.005,0.003
24,GNN dirigida,0.100%,7,Ideal 8-bit,0.000%,0.301,0.177,0.952,0.785,0.202,0.589,0.0,0.0,0.0
25,GNN dirigida,0.100%,7,Mismo circuito + MWPM,0.001%,0.301,0.177,0.952,0.785,0.202,0.589,0.0,0.0,0.0
