Unnamed: 0,Modelo,p_físico,Distancia,Aporte_F1_MWPM,Aporte_IoU_MWPM,Aporte_AUC_MWPM
0,CNN,0.100%,3,0.0111,0.0087,0.004
1,CNN,0.100%,5,0.0325,0.0252,0.0138
2,CNN,0.100%,7,0.0693,0.0526,0.0298
3,CNN,0.600%,3,0.0657,0.0496,0.0297
4,CNN,0.600%,5,0.2582,0.174,0.1395
5,CNN,0.600%,7,0.3465,0.2219,0.2923
6,GNN dirigida,0.100%,3,0.0088,0.006,0.0069
7,GNN dirigida,0.100%,5,0.0399,0.027,0.0195
8,GNN dirigida,0.100%,7,0.062,0.0414,0.0397
9,GNN dirigida,0.600%,3,0.0667,0.0438,0.0409
10,GNN dirigida,0.600%,5,0.2032,0.124,0.1618
11,GNN dirigida,0.600%,7,0.2497,0.1486,0.29
12,Transformer,0.100%,3,0.0149,0.012,0.0048
13,Transformer,0.100%,5,0.031,0.0246,0.0113
14,Transformer,0.100%,7,0.0608,0.0474,0.0271
15,Transformer,0.600%,3,0.0595,0.0462,0.0274
16,Transformer,0.600%,5,0.2424,0.1679,0.1239
17,Transformer,0.600%,7,0.3607,0.2342,0.2783
