Unnamed: 0,Modelo,p_físico,Distancia,Aporte_F1,Aporte_IoU,Aporte_Balanced_accuracy,Aporte_Precision,Aporte_Recall,Aporte_AUC
0,CNN,0.100%,3,0.009,0.007,0.02,0.003,0.042,0.005
1,CNN,0.100%,5,0.024,0.018,0.054,0.009,0.112,0.011
2,CNN,0.100%,7,0.051,0.035,0.089,0.021,0.183,0.025
3,CNN,0.600%,3,0.049,0.038,0.057,0.026,0.117,0.028
4,CNN,0.600%,5,0.185,0.13,0.166,0.132,0.323,0.141
5,CNN,0.600%,7,0.267,0.179,0.258,0.193,0.478,0.297
6,GNN dirigida,0.100%,3,0.011,0.009,0.026,0.008,0.053,0.006
7,GNN dirigida,0.100%,5,0.03,0.023,0.035,0.023,0.07,0.015
8,GNN dirigida,0.100%,7,0.038,0.03,0.036,0.03,0.071,0.032
9,GNN dirigida,0.600%,3,0.045,0.034,0.042,0.036,0.081,0.039
10,GNN dirigida,0.600%,5,0.147,0.097,0.128,0.109,0.226,0.157
11,GNN dirigida,0.600%,7,0.192,0.122,0.205,0.138,0.326,0.297
12,Transformer,0.100%,3,0.013,0.011,0.017,0.005,0.036,-0.003
13,Transformer,0.100%,5,0.02,0.017,0.037,0.001,0.076,0.004
14,Transformer,0.100%,7,0.054,0.047,0.065,0.026,0.134,0.04
15,Transformer,0.600%,3,0.075,0.066,0.076,0.046,0.156,0.012
16,Transformer,0.600%,5,0.184,0.142,0.144,0.141,0.288,0.078
17,Transformer,0.600%,7,0.264,0.194,0.186,0.219,0.348,0.226
