Unnamed: 0,Índice,p_físico,Distancia,Condición,MAE,RMSE,Correlación,SSIM,PSNR_dB
0,Combustible,0.100%,3,Código de superficie + MWPM,0.0017,0.0131,0.9974,0.9865,40.77
1,Combustible,0.100%,3,Ideal cuantizada,0.001,0.0011,1.0,0.9999,59.01
2,Combustible,0.100%,3,Mismo circuito sin decodificación,0.0244,0.0909,0.9228,0.7711,20.89
3,Combustible,0.100%,5,Código de superficie + MWPM,0.001,0.0011,1.0,0.9999,59.01
4,Combustible,0.100%,5,Ideal cuantizada,0.001,0.0011,1.0,0.9999,59.01
5,Combustible,0.100%,5,Mismo circuito sin decodificación,0.0507,0.134,0.8393,0.6016,17.47
6,Combustible,0.100%,7,Código de superficie + MWPM,0.001,0.0011,1.0,0.9999,59.01
7,Combustible,0.100%,7,Ideal cuantizada,0.001,0.0011,1.0,0.9999,59.01
8,Combustible,0.100%,7,Mismo circuito sin decodificación,0.0917,0.1806,0.7263,0.4755,14.87
9,Combustible,0.600%,3,Código de superficie + MWPM,0.0305,0.1007,0.9046,0.7235,19.97
10,Combustible,0.600%,3,Ideal cuantizada,0.001,0.0011,1.0,0.9999,59.01
11,Combustible,0.600%,3,Mismo circuito sin decodificación,0.1094,0.2002,0.667,0.3648,13.98
12,Combustible,0.600%,5,Código de superficie + MWPM,0.0236,0.085,0.9325,0.7627,21.43
13,Combustible,0.600%,5,Ideal cuantizada,0.001,0.0011,1.0,0.9999,59.01
14,Combustible,0.600%,5,Mismo circuito sin decodificación,0.2022,0.2842,0.3856,0.1511,10.94
15,Combustible,0.600%,7,Código de superficie + MWPM,0.0267,0.0961,0.9139,0.7593,20.41
16,Combustible,0.600%,7,Ideal cuantizada,0.001,0.0011,1.0,0.9999,59.01
17,Combustible,0.600%,7,Mismo circuito sin decodificación,0.2684,0.3438,0.1826,0.0866,9.28
18,NBR,0.100%,3,Código de superficie + MWPM,0.0019,0.0164,0.996,0.9944,41.32
19,NBR,0.100%,3,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.4
20,NBR,0.100%,3,Mismo circuito sin decodificación,0.0215,0.0832,0.9343,0.828,21.64
21,NBR,0.100%,5,Código de superficie + MWPM,0.0009,0.0013,1.0,0.9999,58.32
22,NBR,0.100%,5,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.4
23,NBR,0.100%,5,Mismo circuito sin decodificación,0.0562,0.1359,0.8336,0.6336,17.36
24,NBR,0.100%,7,Código de superficie + MWPM,0.0012,0.0059,0.9988,0.9993,53.92
25,NBR,0.100%,7,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.4
26,NBR,0.100%,7,Mismo circuito sin decodificación,0.0944,0.1816,0.7204,0.4749,14.82
27,NBR,0.600%,3,Código de superficie + MWPM,0.0246,0.0905,0.922,0.8381,20.89
28,NBR,0.600%,3,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.4
29,NBR,0.600%,3,Mismo circuito sin decodificación,0.1025,0.1897,0.6961,0.4605,14.46
30,NBR,0.600%,5,Código de superficie + MWPM,0.0264,0.0948,0.9164,0.7801,20.52
31,NBR,0.600%,5,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.4
32,NBR,0.600%,5,Mismo circuito sin decodificación,0.1995,0.281,0.3823,0.2182,11.03
33,NBR,0.600%,7,Código de superficie + MWPM,0.0233,0.0858,0.931,0.8117,21.38
34,NBR,0.600%,7,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.4
35,NBR,0.600%,7,Mismo circuito sin decodificación,0.2561,0.3271,0.1987,0.1061,9.71
36,NDMI,0.100%,3,Código de superficie + MWPM,0.0017,0.0114,0.998,0.997,43.73
37,NDMI,0.100%,3,Ideal cuantizada,0.001,0.0011,1.0,1.0,58.89
38,NDMI,0.100%,3,Mismo circuito sin decodificación,0.024,0.0886,0.9263,0.8165,21.14
39,NDMI,0.100%,5,Código de superficie + MWPM,0.0014,0.0087,0.9985,0.9914,47.45
40,NDMI,0.100%,5,Ideal cuantizada,0.001,0.0011,1.0,1.0,58.89
41,NDMI,0.100%,5,Mismo circuito sin decodificación,0.0562,0.1396,0.8265,0.6733,17.14
42,NDMI,0.100%,7,Código de superficie + MWPM,0.001,0.0011,1.0,1.0,58.89
43,NDMI,0.100%,7,Ideal cuantizada,0.001,0.0011,1.0,1.0,58.89
44,NDMI,0.100%,7,Mismo circuito sin decodificación,0.0962,0.1846,0.7086,0.5217,14.68
45,NDMI,0.600%,3,Código de superficie + MWPM,0.0239,0.0847,0.9332,0.8534,21.46
46,NDMI,0.600%,3,Ideal cuantizada,0.001,0.0011,1.0,1.0,58.89
47,NDMI,0.600%,3,Mismo circuito sin decodificación,0.1036,0.1937,0.687,0.494,14.27
48,NDMI,0.600%,5,Código de superficie + MWPM,0.0289,0.0984,0.9113,0.8006,20.16
49,NDMI,0.600%,5,Ideal cuantizada,0.001,0.0011,1.0,1.0,58.89
50,NDMI,0.600%,5,Mismo circuito sin decodificación,0.1926,0.2736,0.4299,0.2581,11.26
51,NDMI,0.600%,7,Código de superficie + MWPM,0.0251,0.0905,0.9227,0.8107,20.96
52,NDMI,0.600%,7,Ideal cuantizada,0.001,0.0011,1.0,1.0,58.89
53,NDMI,0.600%,7,Mismo circuito sin decodificación,0.261,0.3333,0.1804,0.1154,9.55
54,NDVI,0.100%,3,Código de superficie + MWPM,0.0016,0.0104,0.9982,0.9868,44.14
55,NDVI,0.100%,3,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
56,NDVI,0.100%,3,Mismo circuito sin decodificación,0.0213,0.083,0.9405,0.8292,21.65
57,NDVI,0.100%,5,Código de superficie + MWPM,0.0009,0.0011,1.0,1.0,59.17
58,NDVI,0.100%,5,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
59,NDVI,0.100%,5,Mismo circuito sin decodificación,0.0514,0.1306,0.8575,0.6592,17.71
60,NDVI,0.100%,7,Código de superficie + MWPM,0.0009,0.0011,1.0,1.0,59.24
61,NDVI,0.100%,7,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
