Unnamed: 0,Índice,p_físico,Distancia,Reducción_MAE,Reducción_RMSE,Ganancia_correlación,Ganancia_SSIM,Ganancia_PSNR_dB
0,Combustible,0.100%,3,0.0227,0.0779,0.0746,0.2154,19.8831
1,Combustible,0.100%,5,0.0498,0.1329,0.1607,0.3983,41.5373
2,Combustible,0.100%,7,0.0907,0.1795,0.2737,0.5244,44.1402
3,Combustible,0.600%,3,0.0788,0.0995,0.2376,0.3587,5.9915
4,Combustible,0.600%,5,0.1786,0.1991,0.5469,0.6116,10.4944
5,Combustible,0.600%,7,0.2416,0.2478,0.7313,0.6727,11.1319
6,NBR,0.100%,3,0.0197,0.0668,0.0618,0.1664,19.6829
7,NBR,0.100%,5,0.0553,0.1347,0.1664,0.3663,40.9654
8,NBR,0.100%,7,0.0932,0.1757,0.2784,0.5244,39.0948
9,NBR,0.600%,3,0.0779,0.0992,0.2258,0.3776,6.4315
10,NBR,0.600%,5,0.1731,0.1862,0.5341,0.5619,9.4894
11,NBR,0.600%,7,0.2328,0.2413,0.7323,0.7056,11.6687
12,NDMI,0.100%,3,0.0223,0.0772,0.0717,0.1804,22.597
13,NDMI,0.100%,5,0.0548,0.1309,0.172,0.3181,30.3104
14,NDMI,0.100%,7,0.0953,0.1835,0.2914,0.4782,44.2058
15,NDMI,0.600%,3,0.0797,0.109,0.2463,0.3594,7.1835
16,NDMI,0.600%,5,0.1638,0.1751,0.4814,0.5425,8.9002
17,NDMI,0.600%,7,0.236,0.2428,0.7424,0.6953,11.4185
18,NDVI,0.100%,3,0.0197,0.0726,0.0578,0.1577,22.4867
19,NDVI,0.100%,5,0.0505,0.1295,0.1425,0.3408,41.4621
20,NDVI,0.100%,7,0.1009,0.1918,0.2997,0.543,44.9301
21,NDVI,0.600%,3,0.0768,0.0951,0.2239,0.2927,5.6688
22,NDVI,0.600%,5,0.1686,0.185,0.4853,0.5568,9.9246
23,NDVI,0.600%,7,0.2327,0.2428,0.7187,0.6817,11.3604
