Unnamed: 0,Modelo,p_físico,Distancia,Aporte_F1,Recuperación_F1,Aporte_IoU,Recuperación_IoU,Aporte_Balanced_accuracy,Recuperación_Balanced_accuracy,Aporte_Precision,Recuperación_Precision,Aporte_Recall,Recuperación_Recall,Aporte_AUC,Recuperación_AUC,Aporte_AUC_PR,Recuperación_AUC_PR
0,CA,0.100%,3,-0.003,106.3%,-0.002,106.8%,0.002,101.0%,-0.003,106.1%,0.005,101.5%,-0.0,89.8%,-0.001,128.8%
1,CA,0.100%,5,0.001,100.0%,0.0,100.0%,0.016,100.0%,-0.003,100.0%,0.033,100.0%,0.001,100.0%,-0.003,100.0%
2,CA,0.100%,7,-0.002,100.0%,-0.002,100.0%,0.01,100.0%,-0.006,100.0%,0.024,100.0%,-0.001,100.0%,-0.008,100.0%
3,CA,0.600%,3,0.006,107.2%,0.003,106.3%,0.023,82.1%,-0.0,15.3%,0.049,81.6%,0.0,115.8%,0.001,300.5%
4,CA,0.600%,5,0.001,18.3%,-0.002,-200.1%,0.05,80.7%,-0.011,130.8%,0.107,81.5%,-0.0,-38.8%,-0.002,74.8%
5,CA,0.600%,7,0.036,98.8%,0.021,99.3%,0.105,93.0%,0.005,116.3%,0.221,93.1%,0.002,78.6%,0.005,90.5%
6,CNN,0.100%,3,-0.0,70.8%,-0.0,74.8%,0.002,100.1%,-0.001,87.6%,0.004,100.0%,-0.0,85.4%,-0.006,100.6%
7,CNN,0.100%,5,0.002,100.0%,0.001,100.0%,0.007,100.0%,0.0,100.0%,0.014,100.0%,0.0,102.3%,-0.01,99.8%
8,CNN,0.100%,7,0.001,100.0%,0.001,100.0%,-0.001,100.0%,-0.002,100.0%,-0.002,100.0%,-0.001,100.0%,-0.01,100.0%
9,CNN,0.600%,3,0.007,92.6%,0.005,95.5%,0.015,88.7%,0.002,103.2%,0.031,88.4%,0.001,456.2%,0.002,-44.5%
10,CNN,0.600%,5,0.008,56.3%,0.005,56.1%,0.018,66.7%,-0.002,-199.9%,0.038,67.5%,-0.0,34.0%,-0.002,23.8%
11,CNN,0.600%,7,0.03,96.9%,0.018,95.9%,0.07,96.3%,0.004,102.0%,0.144,96.2%,0.002,124.6%,0.012,445.4%
12,GNN,0.100%,3,0.002,104.1%,0.002,102.8%,0.002,100.4%,0.002,104.4%,0.004,100.0%,0.0,111.0%,0.002,101.3%
13,GNN,0.100%,5,0.008,100.0%,0.008,100.0%,0.005,100.0%,0.007,100.0%,0.01,100.0%,0.0,25.5%,0.004,100.0%
14,GNN,0.100%,7,0.002,100.0%,0.003,100.0%,0.004,100.0%,0.001,100.0%,0.008,100.0%,-0.001,100.0%,0.009,100.0%
15,GNN,0.600%,3,0.004,92.6%,0.004,94.5%,0.004,83.6%,0.003,102.2%,0.009,83.2%,-0.001,157.2%,0.004,51.0%
16,GNN,0.600%,5,-0.008,468.1%,-0.005,-1608.4%,0.005,56.5%,-0.009,246.5%,0.012,62.3%,0.002,217.7%,0.007,62.0%
17,GNN,0.600%,7,-0.005,171.7%,-0.003,2892.0%,0.017,88.2%,-0.011,120.3%,0.038,89.1%,-0.001,73.8%,0.012,82.8%
18,Transformer,0.100%,3,0.007,102.1%,0.006,101.7%,0.009,102.1%,0.003,102.0%,0.02,101.9%,0.004,107.7%,-0.008,99.4%
19,Transformer,0.100%,5,0.034,101.3%,0.032,101.0%,0.031,101.4%,0.024,101.1%,0.065,101.4%,0.013,99.8%,-0.007,96.9%
20,Transformer,0.100%,7,0.029,100.0%,0.028,100.0%,0.037,100.0%,0.013,100.0%,0.078,100.0%,0.013,100.0%,0.012,100.0%
21,Transformer,0.600%,3,0.038,98.3%,0.037,99.4%,0.036,89.2%,0.026,107.5%,0.075,88.7%,0.012,72.6%,0.015,127.4%
22,Transformer,0.600%,5,-0.001,-4.7%,-0.003,-19.7%,0.04,78.1%,-0.029,185.1%,0.085,78.5%,0.034,81.5%,0.004,49.5%
23,Transformer,0.600%,7,0.034,80.8%,0.027,76.7%,0.069,89.6%,-0.011,195.0%,0.145,89.7%,0.02,74.3%,0.027,118.1%
