Unnamed: 0,Modelo,p_físico,Distancia,N_corridas_primarias,N_pares_corrida_semilla,F1_diferencia_media,F1_IC95_inf_boot,F1_IC95_sup_boot,F1_incluye_cero,IoU_diferencia_media,IoU_IC95_inf_boot,IoU_IC95_sup_boot,IoU_incluye_cero,Balanced_accuracy_diferencia_media,Balanced_accuracy_IC95_inf_boot,Balanced_accuracy_IC95_sup_boot,Balanced_accuracy_incluye_cero,Precision_diferencia_media,Precision_IC95_inf_boot,Precision_IC95_sup_boot,Precision_incluye_cero,Recall_diferencia_media,Recall_IC95_inf_boot,Recall_IC95_sup_boot,Recall_incluye_cero,AUC_diferencia_media,AUC_IC95_inf_boot,AUC_IC95_sup_boot,AUC_incluye_cero,AUC_PR_diferencia_media,AUC_PR_IC95_inf_boot,AUC_PR_IC95_sup_boot,AUC_PR_incluye_cero
0,CA,0.100%,3,6,30,-0.0031,-0.0086,0.0012,True,-0.0019,-0.0056,0.001,True,0.0018,-0.0054,0.0082,True,-0.003,-0.0068,-0.0002,False,0.0047,-0.0096,0.0182,True,-0.0003,-0.001,0.0005,True,-0.0011,-0.0063,0.0038,True
1,CA,0.100%,5,6,30,0.001,-0.0082,0.0086,True,0.0001,-0.0062,0.0051,True,0.0156,0.0046,0.0293,False,-0.0027,-0.0127,0.0035,True,0.0329,0.011,0.0614,False,0.0008,-0.0006,0.0022,True,-0.0031,-0.0186,0.0099,True
2,CA,0.100%,7,6,30,-0.0023,-0.0248,0.0154,True,-0.0017,-0.0158,0.0099,True,0.0105,-0.0526,0.0471,True,-0.0056,-0.0206,0.0064,True,0.0238,-0.1065,0.0973,True,-0.0012,-0.0042,0.001,True,-0.0078,-0.026,0.0106,True
3,CA,0.600%,3,6,30,0.006,-0.0038,0.0176,True,0.0034,-0.0032,0.0105,True,0.0234,0.0069,0.0427,False,-0.0002,-0.0108,0.0083,True,0.0492,0.016,0.0889,False,0.0005,-0.0005,0.0014,True,0.0006,-0.0116,0.0114,True
4,CA,0.600%,5,6,30,0.0012,-0.0282,0.0288,True,-0.0022,-0.0217,0.0147,True,0.0496,-0.0309,0.1115,True,-0.0107,-0.0315,0.0072,True,0.107,-0.0574,0.2308,True,-0.0001,-0.0035,0.0023,True,-0.002,-0.0252,0.0201,True
5,CA,0.600%,7,6,30,0.0357,0.002,0.0776,False,0.0213,0.0002,0.0456,False,0.1052,0.0479,0.1677,False,0.0054,-0.0233,0.0362,True,0.2209,0.1088,0.3454,False,0.0016,-0.0032,0.0053,True,0.0054,-0.024,0.0334,True
6,CNN,0.100%,3,6,30,-0.0003,-0.0024,0.002,True,-0.0003,-0.0021,0.0014,True,0.002,0.0001,0.0044,False,-0.001,-0.0028,0.0007,True,0.0044,0.0006,0.009,False,-0.0001,-0.0007,0.0003,True,-0.0059,-0.0141,0.0001,True
7,CNN,0.100%,5,6,30,0.0022,-0.0014,0.0065,True,0.0013,-0.0013,0.0042,True,0.0069,0.0016,0.0148,False,0.0004,-0.0023,0.0032,True,0.0142,0.0037,0.0298,False,0.0001,-0.0011,0.0013,True,-0.01,-0.0386,0.0082,True
8,CNN,0.100%,7,6,30,0.0009,-0.0236,0.0224,True,0.0011,-0.0129,0.015,True,-0.0015,-0.0602,0.0286,True,-0.0015,-0.0149,0.0134,True,-0.0024,-0.1189,0.0583,True,-0.0007,-0.0026,0.0008,True,-0.0102,-0.047,0.0148,True
9,CNN,0.600%,3,6,30,0.0073,-0.001,0.0226,True,0.0047,-0.0014,0.0164,True,0.0155,0.0044,0.0311,False,0.0022,-0.0049,0.0145,True,0.0314,0.0087,0.0622,False,0.0006,-0.0007,0.0023,True,0.0016,-0.0148,0.0137,True
