Unnamed: 0,Modelo,p_físico,Distancia,Aporte_F1,Aporte_IoU,Aporte_Balanced_accuracy,Aporte_Precision,Aporte_Recall,Aporte_AUC,Aporte_AUC_PR
0,CA,0.100%,3,-0.003,-0.002,0.002,-0.003,0.005,-0.0,-0.001
1,CA,0.100%,5,0.001,0.0,0.016,-0.003,0.033,0.001,-0.003
2,CA,0.100%,7,-0.002,-0.002,0.01,-0.006,0.024,-0.001,-0.008
3,CNN,0.100%,3,-0.0,-0.0,0.002,-0.001,0.004,-0.0,-0.006
4,CNN,0.100%,5,0.002,0.001,0.007,0.0,0.014,0.0,-0.01
5,CNN,0.100%,7,0.001,0.001,-0.001,-0.002,-0.002,-0.001,-0.01
6,GNN,0.100%,3,0.002,0.002,0.002,0.002,0.004,0.0,0.002
7,GNN,0.100%,5,0.008,0.008,0.005,0.007,0.01,0.0,0.004
8,GNN,0.100%,7,0.002,0.003,0.004,0.001,0.008,-0.001,0.009
9,Transformer,0.100%,3,0.007,0.006,0.009,0.003,0.02,0.004,-0.008
10,Transformer,0.100%,5,0.034,0.032,0.031,0.024,0.065,0.013,-0.007
11,Transformer,0.100%,7,0.029,0.028,0.037,0.013,0.078,0.013,0.012
12,CA,0.600%,3,0.006,0.003,0.023,-0.0,0.049,0.0,0.001
13,CA,0.600%,5,0.001,-0.002,0.05,-0.011,0.107,-0.0,-0.002
14,CA,0.600%,7,0.036,0.021,0.105,0.005,0.221,0.002,0.005
15,CNN,0.600%,3,0.007,0.005,0.015,0.002,0.031,0.001,0.002
16,CNN,0.600%,5,0.008,0.005,0.018,-0.002,0.038,-0.0,-0.002
17,CNN,0.600%,7,0.03,0.018,0.07,0.004,0.144,0.002,0.012
18,GNN,0.600%,3,0.004,0.004,0.004,0.003,0.009,-0.001,0.004
19,GNN,0.600%,5,-0.008,-0.005,0.005,-0.009,0.012,0.002,0.007
20,GNN,0.600%,7,-0.005,-0.003,0.017,-0.011,0.038,-0.001,0.012
21,Transformer,0.600%,3,0.038,0.037,0.036,0.026,0.075,0.012,0.015
22,Transformer,0.600%,5,-0.001,-0.003,0.04,-0.029,0.085,0.034,0.004
23,Transformer,0.600%,7,0.034,0.027,0.069,-0.011,0.145,0.02,0.027
