Unnamed: 0,Modelo,Semilla_entrenamiento,Umbral,F1,IoU,Balanced_accuracy,Precision,Recall,Entrenamiento_s,Inferencia_s,Épocas,N_estados_train,N_estados_test,N_corridas_train,N_corridas_test
0,CNN,42,0.9,0.43,0.274,0.905,0.29,0.828,7.9,0.054,20,224,96,14,6
1,CNN,43,0.675,0.326,0.194,0.935,0.199,0.9,9.3,0.023,20,224,96,14,6
2,CNN,44,0.9,0.423,0.268,0.867,0.294,0.749,2.8,0.015,20,224,96,14,6
3,CNN,45,0.9,0.431,0.275,0.895,0.294,0.806,3.6,0.014,20,224,96,14,6
4,CNN,46,0.9,0.422,0.267,0.828,0.308,0.668,2.5,0.02,20,224,96,14,6
5,GNN dirigida,42,0.8,0.287,0.168,0.783,0.19,0.586,2.7,0.024,20,224,96,14,6
6,GNN dirigida,43,0.625,0.217,0.122,0.887,0.125,0.821,2.6,0.023,20,224,96,14,6
7,GNN dirigida,44,0.825,0.306,0.181,0.76,0.214,0.536,3.9,0.024,20,224,96,14,6
8,GNN dirigida,45,0.8,0.257,0.147,0.794,0.163,0.614,2.7,0.023,20,224,96,14,6
9,GNN dirigida,46,0.8,0.267,0.154,0.814,0.168,0.655,2.7,0.023,20,224,96,14,6
10,Transformer,42,0.9,0.432,0.276,0.851,0.31,0.715,82.9,0.276,20,224,96,14,6
11,Transformer,43,0.9,0.425,0.269,0.882,0.292,0.781,87.7,0.206,20,224,96,14,6
12,Transformer,44,0.9,0.447,0.288,0.847,0.328,0.705,81.4,0.337,20,224,96,14,6
13,Transformer,45,0.9,0.447,0.288,0.883,0.313,0.781,85.7,0.213,20,224,96,14,6
14,Transformer,46,0.9,0.439,0.281,0.874,0.308,0.762,84.0,0.227,20,224,96,14,6
